sr,source_ip,destination_ip,protocol,packet_length,packet_info,source_mac,destination_mac,source_vendor,destination_vendor,asset_type
1,20.42.73.27,192.168.100.19,6,54,<Ether  dst=b4:6b:fc:c7:e5:6b src=04:b0:e7:65:21:ef type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=40 id=51011 flags= frag=0 ttl=107 proto=tcp chksum=0x68c src=20.42.73.27 dst=192.168.100.19 |<TCP  sport=https dport=49317 seq=1891395692 ack=2860427390 dataofs=5 reserved=0 flags=A window=16384 chksum=0xff4c urgptr=0 |>>>,04:b0:e7:65:21:ef,b4:6b:fc:c7:e5:6b,"HUAWEI TECHNOLOGIES CO.,LTD",Intel Corporate,Unknown Protocol
2,192.168.100.18,192.168.100.255,17,92,<Ether  dst=ff:ff:ff:ff:ff:ff src=c4:d9:87:04:a2:c7 type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=78 id=7262 flags= frag=0 ttl=128 proto=udp chksum=0xd3de src=192.168.100.18 dst=192.168.100.255 |<UDP  sport=netbios_ns dport=netbios_ns len=58 chksum=0xa962 |<NBNSHeader  NAME_TRN_ID=46129 RESPONSE=0 OPCODE=0 NM_FLAGS=B+RD RCODE=0 QDCOUNT=1 ANCOUNT=0 NSCOUNT=0 ARCOUNT=0 |<NBNSQueryRequest  QUESTION_NAME='AWAIS          ' SUFFIX=domain controller NULL=0 QUESTION_TYPE=NB QUESTION_CLASS=INTERNET |>>>>>,c4:d9:87:04:a2:c7,ff:ff:ff:ff:ff:ff,Intel Corporate,Vendor Not Found,Unknown Protocol
3,192.168.100.18,192.168.100.255,17,92,<Ether  dst=ff:ff:ff:ff:ff:ff src=c4:d9:87:04:a2:c7 type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=78 id=7263 flags= frag=0 ttl=128 proto=udp chksum=0xd3dd src=192.168.100.18 dst=192.168.100.255 |<UDP  sport=netbios_ns dport=netbios_ns len=58 chksum=0xa962 |<NBNSHeader  NAME_TRN_ID=46129 RESPONSE=0 OPCODE=0 NM_FLAGS=B+RD RCODE=0 QDCOUNT=1 ANCOUNT=0 NSCOUNT=0 ARCOUNT=0 |<NBNSQueryRequest  QUESTION_NAME='AWAIS          ' SUFFIX=domain controller NULL=0 QUESTION_TYPE=NB QUESTION_CLASS=INTERNET |>>>>>,c4:d9:87:04:a2:c7,ff:ff:ff:ff:ff:ff,Intel Corporate,Vendor Not Found,Unknown Protocol
4,192.168.100.18,192.168.100.255,17,92,<Ether  dst=ff:ff:ff:ff:ff:ff src=c4:d9:87:04:a2:c7 type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=78 id=7264 flags= frag=0 ttl=128 proto=udp chksum=0xd3dc src=192.168.100.18 dst=192.168.100.255 |<UDP  sport=netbios_ns dport=netbios_ns len=58 chksum=0xa962 |<NBNSHeader  NAME_TRN_ID=46129 RESPONSE=0 OPCODE=0 NM_FLAGS=B+RD RCODE=0 QDCOUNT=1 ANCOUNT=0 NSCOUNT=0 ARCOUNT=0 |<NBNSQueryRequest  QUESTION_NAME='AWAIS          ' SUFFIX=domain controller NULL=0 QUESTION_TYPE=NB QUESTION_CLASS=INTERNET |>>>>>,c4:d9:87:04:a2:c7,ff:ff:ff:ff:ff:ff,Intel Corporate,Vendor Not Found,Unknown Protocol
5,152.199.21.118,192.168.100.19,6,118,"<Ether  dst=b4:6b:fc:c7:e5:6b src=04:b0:e7:65:21:ef type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=104 id=29675 flags= frag=0 ttl=57 proto=tcp chksum=0x3aac src=152.199.21.118 dst=192.168.100.19 |<TCP  sport=https dport=49343 seq=3064569153 ack=2861359367 dataofs=5 reserved=0 flags=PA window=133 chksum=0xebe9 urgptr=0 |<Raw  load=""\x17\x03\x03\x00;\\x9f\x07>=6c\\xed\\xc6\x05\\xd6T0\\x8f\\xf6\x17\\xe4:u\\x84\\xe5\\\\xddl@k\\xa3\x0cOAץ\r0K8\\x82'j(\x0b\\xda\x19\\xec\\xe9Y|\\xec\\xa4B\\xb8\x19\\xfen\\xad\\xb9\x04\\xa8\\x88J"" |>>>>",04:b0:e7:65:21:ef,b4:6b:fc:c7:e5:6b,"HUAWEI TECHNOLOGIES CO.,LTD",Intel Corporate,Unknown Protocol
6,192.168.100.19,152.199.21.118,6,54,<Ether  dst=04:b0:e7:65:21:ef src=b4:6b:fc:c7:e5:6b type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=40 id=48959 flags=DF frag=0 ttl=128 proto=tcp chksum=0x6897 src=192.168.100.19 dst=152.199.21.118 |<TCP  sport=49343 dport=https seq=2861359367 ack=3064569217 dataofs=5 reserved=0 flags=A window=1023 chksum=0x36a2 urgptr=0 |>>>,b4:6b:fc:c7:e5:6b,04:b0:e7:65:21:ef,Intel Corporate,"HUAWEI TECHNOLOGIES CO.,LTD",Unknown Protocol
7,152.199.21.118,192.168.100.19,6,85,<Ether  dst=b4:6b:fc:c7:e5:6b src=04:b0:e7:65:21:ef type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=71 id=29676 flags= frag=0 ttl=57 proto=tcp chksum=0x3acc src=152.199.21.118 dst=192.168.100.19 |<TCP  sport=https dport=49343 seq=3064569217 ack=2861359367 dataofs=5 reserved=0 flags=PA window=133 chksum=0xb43 urgptr=0 |<Raw  load='\x15\x03\x03\x00\x1a\\x9f\x07>=6c\\xed\\xc7\\xec\\xcc$\\x8b[\t\\xc1Dl\x0b\\xd7?$\\x9e$\\xc5\\xf37' |>>>>,04:b0:e7:65:21:ef,b4:6b:fc:c7:e5:6b,"HUAWEI TECHNOLOGIES CO.,LTD",Intel Corporate,Unknown Protocol
8,152.199.21.118,192.168.100.19,6,54,<Ether  dst=b4:6b:fc:c7:e5:6b src=04:b0:e7:65:21:ef type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=40 id=29677 flags= frag=0 ttl=57 proto=tcp chksum=0x3aea src=152.199.21.118 dst=192.168.100.19 |<TCP  sport=https dport=49343 seq=3064569248 ack=2861359367 dataofs=5 reserved=0 flags=FA window=133 chksum=0x39fc urgptr=0 |>>>,04:b0:e7:65:21:ef,b4:6b:fc:c7:e5:6b,"HUAWEI TECHNOLOGIES CO.,LTD",Intel Corporate,Unknown Protocol
9,192.168.100.19,152.199.21.118,6,54,<Ether  dst=04:b0:e7:65:21:ef src=b4:6b:fc:c7:e5:6b type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=40 id=48960 flags=DF frag=0 ttl=128 proto=tcp chksum=0x6896 src=192.168.100.19 dst=152.199.21.118 |<TCP  sport=49343 dport=https seq=2861359367 ack=3064569249 dataofs=5 reserved=0 flags=A window=1022 chksum=0x3683 urgptr=0 |>>>,b4:6b:fc:c7:e5:6b,04:b0:e7:65:21:ef,Intel Corporate,"HUAWEI TECHNOLOGIES CO.,LTD",Unknown Protocol
10,,,,188,"<Ether  dst=b4:6b:fc:c7:e5:6b src=04:b0:e7:65:21:ef type=IPv6 |<IPv6  version=6 tc=0 fl=0 plen=134 nh=UDP hlim=1 src=fe80::1 dst=ff05::c |<UDP  sport=58991 dport=ssdp len=134 chksum=0xd418 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: [FF05::C]:1900\r\nMAN: ""ssdp:discover""\r\nMX: 5\r\nST: urn:schemas-upnp-org:device:ManageableDevice:1\r\n\r\n' |>>>>",04:b0:e7:65:21:ef,b4:6b:fc:c7:e5:6b,"HUAWEI TECHNOLOGIES CO.,LTD",Intel Corporate,Unknown Protocol
